AP,language
-1.419947837,-100
2.6446945,-100
2.646429874,-6.975380666
3.027902764,-8.033606187
2.602293059,-6.608962767
-1.165582689,-5.786160747
2.678233852,-7.982010369
-2.134449211,-100
3.111238539,1.144756264
2.726525853,2.545839922
1.614156417,-0.998415987
1.850594376,-100
-0.547856697,-100
1.260139469,-100
2.765386397,-100
3.250821181,-100
2.311408768,-7.699059411
3.180945468,-8.228534632
4.101102676,-7.699025276
4.077724246,-100
4.160735534,-100
4.46151836,-100
3.077111801,-100
0.594865629,-100
0.531015794,-100
0.444800298,-100
-4.223839053,-100
0.309677846,-100
0.90327643,-100
-0.814886299,-100
4.251806573,0.446649705
3.588952156,0.751406178
2.99207665,0.449356876
3.687134272,-100
3.737989852,-100
1.340791944,-100
1.023103225,-100
-1.080015889,-100
-7.365161664,-100
1.550119518,-100
4.689883042,-100
4.813514454,-100
3.842109304,-100
4.530370198,-100
4.670364028,-100
1.526220162,-100
4.300379698,0.14685686
4.251514397,0.315825137
4.555546037,-0.202295377
4.428604322,-100
4.496600612,-100
3.905075754,-100
3.875961643,-100
2.915728796,-100
4.299567389,-3.796184555
3.621796206,-7.879140391
2.763387326,-7.424643885
3.24050701,2.823223893
2.661870584,3.772428963
-0.352848789,-100
0.363918457,-100
1.191123395,-100
1.989792772,-100
4.411643023,-0.582631735
4.36678702,-0.082721474
4.05307753,-0.271195828
3.616640376,-0.569424916
3.822041428,-0.244295675
4.247150978,0.319898539
3.702088839,-0.039647451
3.103730233,-0.357550392
3.780419595,0.295642696
2.154091094,-0.47957339
