averagerank.wholebrain,finalrank.wholebrain,averagerank.hemisphere,finalrank.hemisphere,label,language_hemisphere,language_hemisphere_bin
272.4,319.0,136.1,161.0,lh_17Networks_LH_SalVentAttnB_Ins_1,0.0,0
274.1,325.0,135.4,157.0,lh_17Networks_LH_SalVentAttnB_Ins_2,0.0,0
236.9,256.5,118.5,130.0,lh_17Networks_LH_SalVentAttnB_Ins_3,0.0,0
286.1,348.5,142.5,174.0,lh_17Networks_LH_SalVentAttnB_OFC_1,0.0,0
243.8,277.5,122.2,140.0,lh_17Networks_LH_SalVentAttnB_PFCmp_1,0.0,0
242.2,273.0,121.5,137.5,lh_17Networks_LH_LimbicB_OFC_1,0.0,0
257.2,295.0,127.1,145.0,lh_17Networks_LH_LimbicB_OFC_2,0.0,0
264.3,308.0,131.5,152.5,lh_17Networks_LH_LimbicB_OFC_3,0.0,0
238.0,260.0,118.7,131.0,lh_17Networks_LH_LimbicB_OFC_4,0.0,0
282.6,341.5,141.1,168.0,lh_17Networks_LH_LimbicB_OFC_5,0.0,0
242.7,275.0,120.8,135.0,lh_17Networks_LH_LimbicA_TempPole_1,0.0,0
236.9,256.5,118.1,127.5,lh_17Networks_LH_LimbicA_TempPole_2,0.0,0
233.7,249.0,116.9,124.0,lh_17Networks_LH_LimbicA_TempPole_3,0.0,0
260.3,300.0,130.0,150.0,lh_17Networks_LH_LimbicA_TempPole_4,0.0,0
234.2,251.0,118.4,129.0,lh_17Networks_LH_LimbicA_TempPole_5,0.0,0
241.7,270.0,119.5,132.5,lh_17Networks_LH_LimbicA_TempPole_6,132.5,5
217.0,219.0,109.8,106.0,lh_17Networks_LH_LimbicA_TempPole_7,106.0,5
241.4,269.0,120.9,136.0,lh_17Networks_LH_ContA_Temp_1,136.0,6
205.0,198.0,102.2,99.0,lh_17Networks_LH_ContA_IPS_1,0.0,0
277.9,330.0,139.5,165.0,lh_17Networks_LH_ContA_IPS_2,0.0,0
232.8,248.0,116.7,123.0,lh_17Networks_LH_ContA_IPS_3,0.0,0
217.5,221.0,109.7,105.0,lh_17Networks_LH_ContA_IPS_4,0.0,0
192.6,180.0,97.1,93.0,lh_17Networks_LH_ContA_IPS_5,0.0,0
219.6,225.0,110.4,109.0,lh_17Networks_LH_ContA_PFCd_1,0.0,0
275.0,327.0,137.3,162.0,lh_17Networks_LH_ContA_PFClv_1,162.0,2
284.7,345.0,142.3,173.0,lh_17Networks_LH_ContA_PFClv_2,0.0,0
230.9,245.0,115.9,119.0,lh_17Networks_LH_ContA_PFCl_1,119.0,3
255.0,292.5,127.0,144.0,lh_17Networks_LH_ContA_PFCl_2,144.0,3
268.1,313.0,134.3,156.0,lh_17Networks_LH_ContA_PFCl_3,156.0,3
175.0,151.0,87.6,77.0,lh_17Networks_LH_ContA_Cingm_1,0.0,0
305.4,384.0,151.6,189.0,lh_17Networks_LH_ContB_Temp_1,189.0,6
323.1,397.0,161.8,199.0,lh_17Networks_LH_ContB_Temp_2,199.0,6
286.1,348.5,142.1,172.0,lh_17Networks_LH_ContB_IPL_1,0.0,0
278.0,331.0,138.5,163.0,lh_17Networks_LH_ContB_IPL_2,0.0,0
219.3,222.5,110.3,108.0,lh_17Networks_LH_ContB_IPL_3,0.0,0
296.8,372.0,147.3,184.0,lh_17Networks_LH_ContB_PFCd_1,0.0,0
306.4,385.0,152.3,191.0,lh_17Networks_LH_ContB_PFClv_1,0.0,0
314.8,392.0,156.2,194.0,lh_17Networks_LH_ContB_PFClv_2,0.0,0
286.3,350.0,143.2,176.0,lh_17Networks_LH_ContB_PFClv_3,0.0,0
290.7,355.0,145.1,179.5,lh_17Networks_LH_ContB_PFCmp_1,0.0,0
184.5,168.0,91.6,85.0,lh_17Networks_LH_ContC_pCun_1,0.0,0
164.1,132.0,81.9,68.0,lh_17Networks_LH_ContC_pCun_2,0.0,0
170.5,143.0,84.4,72.0,lh_17Networks_LH_ContC_pCun_3,0.0,0
189.1,175.5,93.9,88.0,lh_17Networks_LH_ContC_Cingp_1,0.0,0
160.9,128.0,80.4,62.0,lh_17Networks_LH_ContC_Cingp_2,0.0,0
